Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
77645e49-3f69-3d1d-bb93-dc65210e2fac,SOUTHCOAST HOSPITALS GROUP INC,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,5086793131,0.0,2
6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,GUARDIAN HOME HEALTH CARE  LLC,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,5085885811,0.0,2
aa682136-a4df-3942-9f50-e6fcee6c0b73,SOUTHWOOD AT NORWELL NURSING CTR,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,7819827450,0.0,2
e3089df2-a1db-372a-b660-30392d8c197b,PIONEER FAMILY HEALTH CARE LLC,178 N MAIN ST,SHARON,MA,020671229,42.13301625,-71.17263163492832,6176948356,0.0,7
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,5086947901,0.0,1
11ba6a26-59b4-3728-a268-6dc9929962b4,COURTYARD NURSING CARE CENTER,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,7813915400,0.0,1
71472d9b-aa5c-3b49-a5c3-d0eee8859015,BOURNE FAMILY MEDICINE PC,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,5087430899,0.0,13
8a2e2731-3240-39d1-b4f0-cad14200937d,MORTON HOSPITAL  A STEWARD FAMILY HOSPITAL  INC.,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,6174194772,0.0,1
fa09396a-2926-3b21-ad0c-9f6cabbce0eb,WOONSOCKET URGENT CARE PC,1210 BOSTON PROVIDENCE TPKE,NORWOOD,MA,020625061,42.1714075,-71.1951186,4017662700,0.0,1
84abfbd5-41c1-3df4-9b31-7ca93cb2309a,SKIN WELLNESS PHYSICIANS LLC,85 HERRICK ST,BEVERLY,MA,019151790,42.56415055,-70.8751357650672,9785247933,0.0,11
c272e12f-e154-3fee-b05d-b7c0cab2657d,STEWARD NORWOOD HOSPITAL INC,800 WASHINGTON ST,NORWOOD,MA,020623487,42.1886973,-71.2005241,7817692950,0.0,2
f6a306cf-7bd6-35f4-a6b7-2d07d273914c,APPLE MEDICAL CLINIC MA INC,63 FOUNTAIN ST STE 402,FRAMINGHAM,MA,017026280,42.27595495,-71.42631150114194,5088611150,0.0,14
32fcdfba-8c93-30f4-b15b-dd3b65c29deb,ELAINE CENTER AT HADLEY,20 NORTH MAPLE STREET,HADLEY,MA,010359715,42.3615107,-72.55261320852942,4135845057,0.0,4
02c936e2-3aee-38b2-88a4-81f3689b7bb7,BENJAMIN HEALTHCARE CENTER,120 FISHER AVENUE,BOSTON,MA,021203320,42.3276141,-71.1051603,6177381500,0.0,1
2b84e56e-08b4-3078-b3ea-4d159208e065,HORIZONS HEALTH & WELLNESS LLC,1029 PLEASANT ST,BRIDGEWATER,MA,023242301,41.9718173,-71.00937893001648,7815859522,0.0,14
4ffa4412-1493-3beb-b8f0-6614dde953a4,SOUTHCOAST HOSPITAL GROUP  INC,363 HIGHLAND AVENUE,WAREHAM,MA,025715011,41.745636,-70.658192,5086793131,0.0,3
a14e698d-a9ba-3eae-9c8b-682ec726433d,LYNN URGENT CARE LLC,776 WESTERN AVE,LYNN,MA,019052408,42.466763,-70.9494939,6178939901,0.0,1
dd9914b0-9491-3330-a890-d34e95e497ea,CHILD & FAMILY SERVICES  INC.,1061 PLEASANT ST,NEW BEDFORD,MA,027406728,41.64280275,-70.92865004309593,5089968572,0.0,8
12dc66ee-e2c7-3d5a-892e-157ff1d47f32,HENRY HEYWOOD MEMORIAL HOSPITAL,242 GREEN ST,WINCHENDON,MA,014751820,42.68061,-72.060691,9786323420,0.0,8
d613e441-68e8-3502-8adb-3f770a1276bf,PALMER FAMILY SERVICES LLC,114 WATER ST,MILFORD,MA,017573007,42.13661855,-71.53474614336832,5084782008,0.0,13
de29a374-221b-3cb4-8051-a02c1a35e5b7,FAMILY MEDICINE ASSOCIATES OF SOUTH ATTLEBORO  P.C.,562 WASHINGTON ST,SOUTH ATTLEBORO,MA,027036942,41.912892049999996,-71.36135809627689,5087615650,0.0,26
18061fd5-fda8-3e2d-87f0-0f3c87211bcc,CAMBRIDGE PUBLIC HEALTH COMMISSION,1493 CAMBRIDGE ST,SOMERVILLE,MA,021431408,42.3875968,-71.0994968,6176651000,0.0,3
4bc0cc09-77e5-37f5-844d-64a6637cae54,WESTERN MASSACHUSETTS HOSPITAL,91 EAST MOUNTAIN ROAD,WESTFIELD,MA,010851801,42.110743549999995,-72.70066160206358,4135624131,0.0,5
4b7c1695-a178-3e03-8651-51acfd3b8372,DOCTORS JAMES AND KELLY HOYE PARTNERS IN FAMILY CARE,600 OLD SOMERSET AVE,NORTH DIGHTON,MA,027641824,41.86399,-71.1244904,5088247557,0.0,11
aade280a-3b90-3e48-9648-91109a964a63,AP MEDICAL LLC,909 SUMNER ST,DARTMOUTH,MA,027473826,41.6332267,-70.9879928,5089715190,0.0,4
ecadbc11-930c-3903-b706-f8ef4bc9089e,PRIMARY CARE ASSOCIATES LLC,780 CHESTNUT ST,SPRINGFIELD,MA,011031109,42.1211633,-72.60614164702717,4137872800,0.0,12
440fa4b8-c731-3cf5-81d9-aa3f30a37b95,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,41 & 45 MALL ROAD,PEABODY,MA,019602901,42.5278731,-70.9286609,7817445100,0.0,1
0fab3c4e-a028-39a6-b15a-be5a88b6aa2a,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,222 STATE STREET,LUDLOW,MA,010563437,42.15547415,-72.47222226666076,4135897581,0.0,10
aaa7ebaf-b1a0-38c1-ba89-a16712cf431c,BRIDGEWATER NURSING HOME,16 PLEASANT STREET,BRIDGEWATER,MA,023242420,41.98625885,-70.97978204646246,5086974616,0.0,1
36705572-6b8a-337d-9d01-be1087ce4650,INTERNAL MEDICINE AND PREVENTIVE CARE PC,233 WINTHROP ST,TAUNTON,MA,027804428,41.89112605,-71.11254102062864,5088800070,0.0,10
57e4e5fa-d68d-3caa-a5ad-37beb1b51207,STEWARD NORWOOD HOSPITAL INC,800 WASHINGTON ST,NORWOOD,MA,020623487,42.1886973,-71.2005241,7812784120,0.0,1
00ffb204-07b4-3c72-a678-fa252e6cf86c,BEDFORD-LEXINGTON INTERNAL MEDICINE  PC,450 BEDFORD ST,LEXINGTON,MA,02420,42.47370735,-71.25090005,7812746274,0.0,13
ad82d624-72eb-3c7d-a76d-79f2668d1390,WOODLAND INTERNISTS  P.C.,3 WOODLAND RD,STONEHAM,MA,021801711,42.452443099999996,-71.08939988105112,7816627990,0.0,25
70a26106-6797-39f8-83e6-6bcf212b99ad,CEDAR STREET FAMILY CLINIC INC,340 MAIN ST,WORCESTER,MA,016081601,42.53616075,-71.74831883675786,5087521331,0.0,8
901c2d40-1ca3-3879-9a20-c663b8adc0a9,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,STONEHAM,MA,021802445,42.4863168,-71.0928919,6176365000,0.0,6
e6cc6043-299a-3581-8f6b-b3b5d62c46ae,CARING HEALTH CENTER  INC,532 SUMNER AVE,SPRINGFIELD,MA,011082458,42.08631583333334,-72.55792579166666,4137391100,0.0,9
8d110f42-6f75-3751-b0c5-b45ab08333a1,MORTON HOSPITAL,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,5088287000,0.0,1
15d4c950-4691-3996-b4c4-bf06bfb58ff7,HOLY FAMILY HOSPITAL,70 EAST ST,METHUEN,MA,018445883,42.7285558,-71.16833738237946,9786870151,0.0,5
5018c664-e283-30eb-932a-529d9a19b3b5,FIRST PSYCHIATRIC PLANNERS  INC,300 SOUTH ST,WOBURN,MA,018014979,42.473347,-71.144086,6174690300,0.0,3
1cff30ba-b91f-3ea2-b80b-770d67856358,ROYAL NURSING CENTER  LLC,359 JONES RD,FALMOUTH,MA,025403341,41.5591273,-70.60352436630029,7743450220,0.0,1
d4e48a16-0a60-3e90-81e5-c35b22ffe6af,GREEN MOUNTAIN URGENT CARE LLC,856 STATE RD,NORTH ADAMS,MA,012473027,42.69967208677275,-73.16330754755236,6035264635,0.0,1
4e880cb9-1ca0-3582-b8cf-8a59b0d2b878,BERKSHIRE INTERNAL MEDICINE LLC,51 S CHURCH ST,PITTSFIELD,MA,012016178,42.44648205,-73.25863241543368,4137688217,0.0,13
a2a41caf-758f-3962-8e5f-e6e603f93d17,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS LLC,111 HUNTOON MEMORIAL HWY,ROCHDALE,MA,015421305,42.2020225,-71.89891616754682,5088926000,0.0,13
ee6705d5-db4a-3120-bbe1-1e72972a841f,LOWELL COMMUNITY HEALTH CENTER  INC.,101 JACKSON ST,LOWELL,MA,018522103,42.64221447368421,-71.31029421052632,9784411700,0.0,12
a6fb79e7-4abb-3a68-b62d-e501427fdca4,AUBURN PRIMARY CARE AND AESTHETICS,489 WASHINGTON ST STE 202,AUBURN,MA,015015709,42.187836,-71.83104,5087969211,0.0,13
ea8d287f-b3a9-3800-8798-788e334ee406,NORTH SHORE MEDICAL CENTER INC,81 HIGHLAND AVE,SWAMPSCOTT,MA,019072928,42.4699241,-70.9171507,9783542065,0.0,15
8bf5325a-c11b-35c4-b07d-17a5aeba8353,BEACON HOSPICE  AN AMYEDISYS COMPANY,815 WORCESTER STREET,SPRINGFIELD,MA,011511001,42.1018764,-72.5886727,4132051229,0.0,1
43e22208-dae0-3196-b30b-17b3c50679c2,GREATER LAWRENCE FAMILY HEALTH CENTER INC,147 PELHAM ST,METHUEN,MA,018442060,42.7288158,-71.20222773774655,9786833491,0.0,9
9d2a1656-0f4d-30d1-bc63-eb365a05529c,STEWARD GOOD SAMARITAN MEDICAL CENTER  INC.,235 N PEARL ST,BROCKTON,MA,023011794,42.09805395,-71.0609587194362,5084272841,0.0,1
ca8a919a-05f9-3687-bfb6-42800a70031e,LIFE LINE COMMUNITY HEALTHCARE,6111 OAK TREE BLVD STE 301,FRAMINGHAM,MA,017014613,42.3095704,-71.4413097,2165816556,0.0,20
eee00932-ca82-36bc-b7e8-e3fff6dbaeaa,DANA FARBER CANCER INSTITUTE,450 BROOKLINE AVE,WEYMOUTH,MA,021893141,42.2212188,-70.9391625,6176323000,0.0,8
a06b1a97-d6ce-3ea1-ba4a-2ef85a8114ab,APPLE VALLEY CENTER,400 GROTON ROAD,AYER,MA,014321171,42.57821195,-71.5733060441645,9787721704,0.0,1
f8918a95-31e8-3ac4-8d12-29ca6080ebda,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,199 REEDSDALE RD,MILTON,MA,021863926,42.251368299999996,-71.0768393856917,6173131214,0.0,3
3ff0f58b-7a1f-3334-9449-ff15f68b7d86,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH INC,275 SANDWICH ST,PLYMOUTH,MA,023607761,41.94186605,-70.6455366462985,5087462000,0.0,3
a6964d47-8af0-3df2-b99d-d8414eb1cfa3,ARBOUR-FULLER HOSPITAL,200 MAY ST,SOUTH ATTLEBORO,MA,027035520,41.924394750000005,-71.36076410900014,5087618500,0.0,12
2c708a72-2e25-36a1-8209-d2a708874eff,HOPEHEALTH HOSPICE & PALLIATIVE CARE,1324 BELMONT STREET #202,BROCKTON,MA,023014435,42.057156895761736,-71.06994368825448,5089570200,0.0,1
f82ff162-c689-3682-876c-220cf96eb97b,MIDDLESEX FAMILY PRACTICE PC,74 MAIN ST,FRAMINGHAM,MA,017022952,42.2976266,-71.42605348361442,5082708844,0.0,9
9d989fcf-4ad9-3972-ada3-f275d967781e,FALMOUTH HOSPITAL ASSOCIATION INC,100 TER HEUN DR,SANDWICH,MA,025632377,41.7579043,-70.4968152,5084573528,0.0,2
9f2f60a6-87a4-3f45-b753-b63b5b7e9993,NORTH END COMMUNITY HEALTH COMMITTEE INC,332 HANOVER STREET,BOSTON,MA,021131901,42.3647421,-71.0536619,6176438000,0.0,13
0d7ef8ee-4e45-3b40-9f2b-f558dce71574,PERSONALIZED MEDICAL CARE LLC,200 BOYLSTON ST,CHESTNUT HILL,MA,024672008,42.318869649999996,-71.17524247213663,6175298041,0.0,8
a730c5e6-a15f-3e36-8112-8579e507d330,MIDDLESEX INTERNAL MEDICINE ASSOCIATES  INC,28 LORD RD,MARLBOROUGH,MA,017524549,42.34718040987546,-71.57283065352654,5084857660,0.0,24
389323ef-b127-3a06-a22d-e24aef033e5d,GREATER BOSTON INTERNAL MEDICINE PC,200 PROVIDENCE HWY,DEDHAM,MA,020261881,42.22214545274341,-71.18159060546684,7813261464,0.0,13
e69e7cbb-8362-30d1-83f2-3a0c492fe2b1,PLYMOUTH CARVER PRIMARY CARE  P.C.,110 LONG POND RD,PLYMOUTH,MA,023602642,41.9255829,-70.65514326847389,5087467272,0.0,10
06cc2462-430f-3322-9c87-7e971125f510,EMERSON HOSPITAL,133 OLD ROAD TO 9 ACRE COR,WESTFORD,MA,018863198,42.5792583,-71.4378411,9782873226,0.0,1
dfc0bac0-55a9-3f25-b0e3-78f9f586560c,COMMUNITY HEALTH PROGRAMS  INC,444 STOCKBRIDGE ROAD,GREAT BARRINGTON,MA,012301295,42.22088152406833,-73.34280352682327,4135289311,0.0,8
79508e39-d0b0-3613-9d54-168f6e1c3a18,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,GROTON,MA,014502056,42.577352149999996,-71.57414587343038,9787849000,0.0,5
352f2e3b-0708-3eb4-9f7e-e73a685bf379,MARLBOROUGH HOSPITAL CORP,157 UNION ST,SOUTHBOROUGH,MA,017721215,42.3056501,-71.5245087,5084815000,0.0,3
34f7bdc0-0550-333e-a53f-5e2af5a6d4ec,PLYMOUTH FAMILY OPTOMETRY LLC,212 S MEADOW RD UNIT 5C,PLYMOUTH,MA,023605450,41.9426657,-70.7618592,7742834005,0.0,13
a2d45ee8-b930-3169-b612-f602961ad212,SUNRISE HEALTHCARE LLC,37 MINUTEMAN WAY,SHREWSBURY,MA,015452229,42.288207,-71.73443816915585,6176509959,0.0,11
0fa1cab9-83c1-3c85-b7bc-53d8b922e2f7,METROWEST MEDICAL CENTER,115 LINCOLN STREET,WORCESTER,MA,016081216,42.2768165,-71.795274,5083831000,0.0,5
817f4acb-0184-3146-9ce0-87197d8f115a,READING FAMILY MEDICINE PC,30 NEWCROSSING RD STE 301,READING,MA,01867,42.51809619399502,-71.0959083715027,7819420380,0.0,13
10ffe7b1-2f94-3f12-9288-679da05a1ec9,WESTFORD INTERNAL MEDICINE PC,133 LITTLETON RD,WESTFORD,MA,01886,42.57056335,-71.41736646422413,9785771946,0.0,12
4fa643ae-1f58-3c2e-9f33-0ba56345ad10,COMPASSIONATE HEALTH CARE GROUP LLC,361 MAIN ST,WAREHAM,MA,025712153,41.761384899999996,-70.71911431737183,7746787319,0.0,12
3d5fbf38-c781-3e04-8c7e-5a402611b7d4,DAVIS SQUARE FAMILY PRACTICE,260 ELM ST,SOMERVILLE,MA,021442951,42.3955992,-71.1227391,6176669577,0.0,8
f43f97f2-af04-3ed0-a42e-3681718cc9b2,BERKSHIRE MEDICAL CENTER INC,725 NORTH ST,PITTSFIELD,MA,012014109,42.4600752,-73.2492795834909,4134472000,0.0,1
fd5342f0-10c0-3f48-9c7e-7100a64db139,WILLOW MANOR,30 PRINCETON BOULEVARD,LOWELL,MA,018512405,42.6353691,-71.3322833,9789548086,0.0,1
f202fe9c-c1dd-30d5-805e-6a26904dbbce,GEORGETOWN FAMILY MEDICINE LLC,256 GEORGETOWN RD,BOXFORD,MA,019211642,42.697599999999994,-70.98887494259449,9788870222,0.0,8
dfcd78f1-f67e-321d-84e3-f658c482c474,PLEASANT BAY HEALTH AND WELLNESS CENTER LLC,64 WOODLANDS WAY,BREWSTER,MA,026312550,41.737807,-70.0036669,5082401110,0.0,2
7b20d1c4-c56b-3647-801c-5e4e13679073,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH INC,275 SANDWICH ST,PLYMOUTH,MA,023602183,41.94186605,-70.6455366462985,5087462000,0.0,1
3e97ce4f-3ad7-3cea-883f-e2bb4ca89d83,HALLMARK HEALTH URGENT CARE PHYSICIANS LLC,30 NEW CROSSING RD,READING,MA,018673270,42.51809619399502,-71.0959083715027,7812801699,0.0,1
4f59f709-8b84-3d27-a04b-c6b7b5544413,HILLTOWN COMMUNITY HEALTH CENTERS INC,70 BOLTWOOD WALK,AMHERST,MA,010022271,42.3768779,-72.51840280783739,4132385511,0.0,13
